indicator_id,indicator_label,indicator_group,unit,analysis_level,estimator_type,universe,weight,required_vars,derived_vars,scale_adjustment_required,representativity_required,implementation_status,method_note
bono_discapacidad_monto_total,Monto total captado por Bono de Discapacidad,social_bonus,usd,person,total,personas_en_base_enemdu,fexp,bono_discapacidad,bono_discapacidad,FALSE,TRUE,contract,Estimación expandida del monto de Bono de Discapacidad captado en ENEMDU validado por p77.
bono_discapacidad_receptores,Personas receptoras de Bono de Discapacidad,social_bonus,count,person,total,personas_en_base_enemdu,fexp,bono_discapacidad_recibe,bono_discapacidad_recibe,FALSE,TRUE,contract,Estimación expandida de personas que declaran recibir Bono de Discapacidad según p77.
bono_discapacidad_monto_promedio_receptor,Monto promedio de Bono de Discapacidad entre receptores,social_bonus,usd,person,mean,personas_receptoras_bono_discapacidad,fexp,bono_discapacidad_monto_receptor,bono_discapacidad_monto_receptor,FALSE,TRUE,contract,Promedio del monto de Bono de Discapacidad entre receptores validados por p77.
bonos_scenario_add_total_enemdu,Monto total de bonos sociales no incluidos en ingreso base,social_bonus_scenario,usd,person,total,personas_en_base_enemdu,fexp,bonos_scenario_add_total,bonos_scenario_add_total,FALSE,TRUE,contract,Estimación expandida del componente adicional que puede sumarse al ingreso base en escenarios alternativos.
ingreso_percapita_familiar_plus_optional_bonos,Ingreso per cápita familiar alternativo con bonos no incluidos en ingreso base,income_scenario,usd,household_repeated_person,mean,personas_en_hogares_con_ingreso_valido,fexp,ingtot_pc_plus_optional_bonos,ingtot_pc_plus_optional_bonos,TRUE,TRUE,contract,Escenario alternativo para análisis; suma solo bonos no incluidos en ingreso base.
pobreza_ingresos_plus_optional_bonos,Incidencia de pobreza por ingresos con escenario de bonos no incluidos en ingreso base,poverty_scenario,percentage,household_repeated_person,proportion_0_1,personas_en_hogares_con_ingreso_valido,fexp,ingtot_pc_plus_optional_bonos|linea_pobreza,pobre_plus_optional_bonos,TRUE,TRUE,contract,Escenario alternativo de pobreza usando ingreso per cápita familiar con bonos no incluidos en ingreso base; requiere línea de pobreza validada.
pobreza_extrema_ingresos_plus_optional_bonos,Incidencia de pobreza extrema por ingresos con escenario de bonos no incluidos en ingreso base,poverty_scenario,percentage,household_repeated_person,proportion_0_1,personas_en_hogares_con_ingreso_valido,fexp,ingtot_pc_plus_optional_bonos|linea_pobreza_extrema,expobre_plus_optional_bonos,TRUE,TRUE,contract,Escenario alternativo de pobreza extrema usando ingreso per cápita familiar con bonos no incluidos en ingreso base; requiere línea de pobreza extrema validada.
bono_jgl_monto_total,Monto total captado por alias heredado de bono discapacidad,deprecated_optional_bonus,usd,person,total,personas_en_base_enemdu,fexp,bono_jgl,bono_jgl,FALSE,TRUE,deprecated,Alias temporal heredado; usar bono_discapacidad_monto_total.
bono_jgl_receptores,Personas receptoras por alias heredado de bono discapacidad,deprecated_optional_bonus,count,person,total,personas_en_base_enemdu,fexp,bono_jgl_recibe,bono_jgl_recibe,FALSE,TRUE,deprecated,Alias temporal heredado; usar bono_discapacidad_receptores.
bono_jgl_monto_promedio_receptor,Monto promedio por alias heredado de bono discapacidad,deprecated_optional_bonus,usd,person,mean,personas_receptoras_bono_discapacidad,fexp,bono_jgl_monto_receptor,bono_jgl_monto_receptor,FALSE,TRUE,deprecated,Alias temporal heredado; usar bono_discapacidad_monto_promedio_receptor.
