indicator_id,indicator_label,indicator_group,unit,analysis_level,estimator_type,universe,weight,required_vars,derived_vars,numerator_var,denominator_var,value_var,condact_codes,secemp_codes,output_scale,domain_scope_policy,design_domain_policy,representativity_required,scale_adjustment_required,implementation_status,source_status,method_note
labor_tasa_participacion_bruta,Tasa de participación bruta,labor_rate,proportion,person,proportion_0_1,poblacion_total_observada,fexp,condact|p03|upm|estrato|fexp,labor_pea,labor_pea,labor_population_base,,1|2|3|4|5|6|7|8,,proportion_0_1,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_tasa_participacion_global,Tasa de participación global,labor_rate,proportion,person,proportion_0_1,pet,fexp,condact|p03|upm|estrato|fexp,labor_pea|labor_pet,labor_pea,labor_pet,,1|2|3|4|5|6|7|8,,proportion_0_1,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_tasa_ocupacion_bruta,Tasa de ocupación bruta,labor_rate,proportion,person,proportion_0_1,pet,fexp,condact|p03|upm|estrato|fexp,labor_empleo|labor_pet,labor_empleo,labor_pet,,1|2|3|4|5|6,,proportion_0_1,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_tasa_ocupacion_global,Tasa de ocupación global,labor_rate,proportion,person,proportion_0_1,pea,fexp,condact|p03|upm|estrato|fexp,labor_empleo|labor_pea,labor_empleo,labor_pea,,1|2|3|4|5|6,,proportion_0_1,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_tasa_empleo_adecuado,Tasa de empleo adecuado/pleno,labor_rate,proportion,person,proportion_0_1,pea,fexp,condact|p03|upm|estrato|fexp,labor_empleo_adecuado|labor_pea,labor_empleo_adecuado,labor_pea,,1,,proportion_0_1,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_tasa_subempleo,Tasa de subempleo,labor_rate,proportion,person,proportion_0_1,pea,fexp,condact|p03|upm|estrato|fexp,labor_subempleo|labor_pea,labor_subempleo,labor_pea,,2|3,,proportion_0_1,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_tasa_subempleo_tiempo,Tasa de subempleo por insuficiencia de tiempo,labor_rate,proportion,person,proportion_0_1,pea,fexp,condact|p03|upm|estrato|fexp,labor_subempleo_tiempo|labor_pea,labor_subempleo_tiempo,labor_pea,,2,,proportion_0_1,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_tasa_subempleo_ingresos,Tasa de subempleo por insuficiencia de ingresos,labor_rate,proportion,person,proportion_0_1,pea,fexp,condact|p03|upm|estrato|fexp,labor_subempleo_ingresos|labor_pea,labor_subempleo_ingresos,labor_pea,,3,,proportion_0_1,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_tasa_otro_empleo_no_pleno,Tasa de otro empleo no pleno,labor_rate,proportion,person,proportion_0_1,pea,fexp,condact|p03|upm|estrato|fexp,labor_otro_empleo_no_pleno|labor_pea,labor_otro_empleo_no_pleno,labor_pea,,4,,proportion_0_1,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_tasa_empleo_no_remunerado,Tasa de empleo no remunerado,labor_rate,proportion,person,proportion_0_1,pea,fexp,condact|p03|upm|estrato|fexp,labor_empleo_no_remunerado|labor_pea,labor_empleo_no_remunerado,labor_pea,,5,,proportion_0_1,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_tasa_empleo_no_clasificado,Tasa de empleo no clasificado,labor_rate,proportion,person,proportion_0_1,pea,fexp,condact|p03|upm|estrato|fexp,labor_empleo_no_clasificado|labor_pea,labor_empleo_no_clasificado,labor_pea,,6,,proportion_0_1,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_tasa_desempleo,Tasa de desempleo,labor_rate,proportion,person,proportion_0_1,pea,fexp,condact|p03|upm|estrato|fexp,labor_desempleo|labor_pea,labor_desempleo,labor_pea,,7|8,,proportion_0_1,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_tasa_desempleo_abierto,Tasa de desempleo abierto,labor_rate,proportion,person,proportion_0_1,pea,fexp,condact|p03|upm|estrato|fexp,labor_desempleo_abierto|labor_pea,labor_desempleo_abierto,labor_pea,,7,,proportion_0_1,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
labor_tasa_desempleo_oculto,Tasa de desempleo oculto,labor_rate,proportion,person,proportion_0_1,pea,fexp,condact|p03|upm|estrato|fexp,labor_desempleo_oculto|labor_pea,labor_desempleo_oculto,labor_pea,,8,,proportion_0_1,observed_default_design_output_filter_available,domain_scope_design_filters_output_after_estimation_not_microdata,TRUE,FALSE,implemented,official_consolidated_condact_and_project_registry,"Indicador laboral estimado a partir de la variable consolidada condact; no reconstruye la condición de actividad desde preguntas crudas. Las tasas se reportan como proporción en [0,1]."
