survey_type,period,dictionary_frequency,dictionary_file_scope,dictionary_file,official_variable,official_description,package_expected_variable,expected_catalog_match,role,required_core,domain_level,source_status,notes
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,p78,Monto recibido por el BONO DE DISCAPACIDAD,p78,exact,optional_bonus_analysis,TRUE,,official_dictionary,El diccionario actual describe p78 como Bono de Discapacidad; revisar nomenclatura interna bono_jgl.
mensual,2026-03,Mensual,persona,Diccionario de Datos_persona_2026_03.ODS,ingrl,Ingreso Laboral,ingrl,exact,official_income_output,TRUE,,official_dictionary,Variable oficial observada; el paquete también la deriva según contrato de ingresos.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,area,Area,area,exact,domain_variable,TRUE,urbano_rural,official_dictionary,Variable oficial observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,ciudad,Ciudad,ciudad,exact,domain_variable,TRUE,ciudad_5,official_dictionary,Variable oficial observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,id_hogar,Identificador de hogar,idhogar,alias,household_identifier,TRUE,,official_dictionary,El paquete usa idhogar como canónica y id_hogar como alias.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,upm,Unidad Primaria de Muestreo,upm,exact,design_variable,TRUE,,official_dictionary,Variable oficial observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,estrato,Estratos,estrato,exact,design_variable,TRUE,,official_dictionary,Variable oficial observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,fexp,Factor de expansión,fexp,exact,weight_variable,TRUE,,official_dictionary,Variable oficial observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p02,Sexo,p02,exact,classification_variable,TRUE,subpoblacion_sociodemografica,official_dictionary,Variable oficial observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p63,Ingresos - Patronos Cuenta Propia,p63,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p64b,Monto de retiro de bienes del negocio,p64b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p65,Monto gastado en funcionamiento negocio,p65,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p66,Ingreso de asalariados y/o empleados domésticos,p66,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p67,Descuentos de asalariados,p67,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p68b,Ingreso en especies de asalariados,p68b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p69,Ingreso ocup. secundaria - asalariados e independientes,p69,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p70b,Pago en especies - trabajo secundario,p70b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p71a,Recibió ingresos derivados del capital,p71a,exact,income_condition,TRUE,,official_dictionary,Variable oficial de condición de ingreso observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p71b,Ingreso recibido por transacciones de capital,p71b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p72a,Recibe jubilación o pensiones,p72a,exact,income_condition,TRUE,,official_dictionary,Variable oficial de condición de ingreso observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p72b,Ingreso por jubilación o pensiones,p72b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p73a,Recibió regalos o donaciones,p73a,exact,income_condition,TRUE,,official_dictionary,Variable oficial de condición de ingreso observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p73b,Ingreso por regalos o donaciones - Monto,p73b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p74a,Recibió dinero del exterior,p74a,exact,income_condition,TRUE,,official_dictionary,Variable oficial de condición de ingreso observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p74b,Ingreso del exterior - Monto,p74b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p75,Recibió el BONO DE DESARROLLO HUMANO,p75,exact,income_condition,TRUE,,official_dictionary,Variable oficial de condición de transferencia observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p76,Monto que recibió por el BONO DE DESARROLLO HUMANO,p76,exact,income_component,TRUE,,official_dictionary,Variable oficial de transferencia observada en diccionario trimestral 2026-I.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,p78,Monto recibido por el BONO DE DISCAPACIDAD,p78,exact,optional_bonus_analysis,TRUE,,official_dictionary,El diccionario actual describe p78 como Bono de Discapacidad; revisar nomenclatura interna bono_jgl.
trimestral,2026-I,Trimestral,persona,Diccionario de Datos_persona_2026_I_trimestre.ods,ingrl,Ingreso Laboral,ingrl,exact,official_income_output,TRUE,,official_dictionary,Variable oficial observada; el paquete también la deriva según contrato de ingresos.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,area,Area,area,exact,domain_variable,TRUE,urbano_rural,official_dictionary,Variable oficial observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,ciudad,Ciudad,ciudad,exact,domain_variable,TRUE,ciudad_5,official_dictionary,Variable oficial observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,prov,Provincia,prov,exact,domain_variable,TRUE,provincia_24,official_dictionary,Variable oficial de provincia observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,id_hogar,Identificador de hogar,idhogar,alias,household_identifier,TRUE,,official_dictionary,El paquete usa idhogar como canónica y id_hogar como alias.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,upm,Unidad Primaria de Muestreo,upm,exact,design_variable,TRUE,,official_dictionary,Variable oficial observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,estrato,Estrato,estrato,exact,design_variable,TRUE,,official_dictionary,Variable oficial observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,fexp,Factor de expansión,fexp,exact,weight_variable,TRUE,,official_dictionary,Variable oficial observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p02,Sexo,p02,exact,classification_variable,TRUE,subpoblacion_sociodemografica,official_dictionary,Variable oficial observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p63,Ingresos - Patronos Cuenta Propia,p63,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p64b,Monto de retiro de bienes del negocio,p64b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p65,Monto gastado en funcionamiento negocio,p65,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p66,Ingreso de asalariados y/o empleados domésticos,p66,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p67,Descuentos de asalariados,p67,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p68b,Ingreso en especies de asalariados,p68b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p69,Ingreso ocup. secundaria - asalariados e independientes,p69,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p70b,Pago en especies - trabajo secundario,p70b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p71a,Recibió ingresos derivados del capital,p71a,exact,income_condition,TRUE,,official_dictionary,Variable oficial de condición de ingreso observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p71b,Ingreso recibido por transacciones de capital,p71b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p72a,Recibe jubilación o pensiones,p72a,exact,income_condition,TRUE,,official_dictionary,Variable oficial de condición de ingreso observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p72b,Ingreso por jubilación o pensiones,p72b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p73a,Recibió regalos o donaciones,p73a,exact,income_condition,TRUE,,official_dictionary,Variable oficial de condición de ingreso observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p73b,Ingreso por regalos o donaciones - Monto,p73b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p74a,Recibió dinero del exterior,p74a,exact,income_condition,TRUE,,official_dictionary,Variable oficial de condición de ingreso observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p74b,Ingreso del exterior - Monto,p74b,exact,income_component,TRUE,,official_dictionary,Variable oficial de ingreso observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p75,Recibió el BONO DE DESARROLLO HUMANO,p75,exact,income_condition,TRUE,,official_dictionary,Variable oficial de condición de transferencia observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p76,Monto que recibió por el BONO DE DESARROLLO HUMANO,p76,exact,income_component,TRUE,,official_dictionary,Variable oficial de transferencia observada en diccionario anual 2025.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,p78,Monto recibido por el BONO DE DISCAPACIDAD,p78,exact,optional_bonus_analysis,TRUE,,official_dictionary,El diccionario actual describe p78 como Bono de Discapacidad; revisar nomenclatura interna bono_jgl.
anual,2025,Anual,persona,Diccionario de Datos_persona_anual_2025.xlsx,ingrl,Ingreso Laboral,ingrl,exact,official_income_output,TRUE,,official_dictionary,Variable oficial observada; el paquete también la deriva según contrato de ingresos.
