variable,canonical_name,aliases,variable_group,analysis_level,required_core,type_expected,description,source_note,role,default_income_inclusion,optional_income_inclusion,comparison_ready
ingtot,ingtot,,derived_income,household_repeated_person,FALSE,numeric,Ingreso total del hogar derivado,Sintaxis oficial de pobreza extrema por ingresos,derived_income,TRUE,FALSE,FALSE
hsize,hsize,npersona,derived_household,household_repeated_person,FALSE,integer,Tamaño del hogar calculado por identificador de hogar,Sintaxis oficial de pobreza extrema por ingresos y ajuste interno del proyecto,derived_household,FALSE,FALSE,FALSE
ingtot_pc,ingtot_pc,ipcf|ingreso_percapita_familiar,derived_income,household_repeated_person,FALSE,numeric,Ingreso per cápita familiar derivado dividiendo ingreso del hogar para tamaño del hogar,Sintaxis oficial de pobreza extrema por ingresos,derived_income,TRUE,FALSE,FALSE
bono_jgl,bono_jgl,p78_normalizado,optional_bonus,person,FALSE,numeric,Monto normalizado del bono JGL para análisis opcional de bonos,Sintaxis oficial de pobreza extrema por ingresos y decisión interna del proyecto,optional_bonus_analysis,FALSE,TRUE,TRUE
bono_jgl_recibe,bono_jgl_recibe,,optional_bonus,person,FALSE,integer,Indicador de recepción de bono JGL construido desde monto positivo de bono_jgl,Decisión interna del proyecto,optional_bonus_analysis,FALSE,TRUE,TRUE
bonos_optional_total,bonos_optional_total,,optional_bonus,person,FALSE,numeric,Total individual de bonos opcionales activados en análisis,Decisión interna del proyecto,optional_bonus_analysis,FALSE,TRUE,TRUE
bonos_optional_recibe,bonos_optional_recibe,,optional_bonus,person,FALSE,integer,Indicador de recepción de cualquier bono opcional activado,Decisión interna del proyecto,optional_bonus_analysis,FALSE,TRUE,TRUE
ingrltot_plus_optional_bonos,ingrltot_plus_optional_bonos,,derived_income_scenario,person,FALSE,numeric,Ingreso individual alternativo con bonos opcionales,Decisión interna del proyecto,scenario_income,FALSE,TRUE,TRUE
ingtot_plus_optional_bonos,ingtot_plus_optional_bonos,,derived_income_scenario,household_repeated_person,FALSE,numeric,Ingreso total del hogar alternativo con bonos opcionales,Decisión interna del proyecto,scenario_income,FALSE,TRUE,TRUE
ingtot_pc_plus_optional_bonos,ingtot_pc_plus_optional_bonos,ipcf_plus_optional_bonos,derived_income_scenario,household_repeated_person,FALSE,numeric,Ingreso per cápita familiar alternativo con bonos opcionales,Decisión interna del proyecto,scenario_income,FALSE,TRUE,TRUE
